Position,Track Name,Artist,date,region,id
43,Ta To Gucci,Cauty,10/15/2018,do,4ZwvzrrLmeaOEYHQmKb94l
44,REMEDY,Alesso,10/15/2018,do,6jreFSOTUAViWjKyzOC4Kg
45,Level Up,Ciara,10/15/2018,do,5ubwXXOsH9bUhZsQ0Cybha
46,Calma,Pedro Capó,10/15/2018,do,6aLJnupvPpT9HLv3xaUhe1
47,New Patek,Lil Uzi Vert,10/15/2018,do,0Fpen1PTuEnCmOJtUU9Iud
48,Spice,Michael Brun,10/15/2018,do,7Jx4OVBmS6qySEFqO13bHy
49,Cuando Te Besé,Becky G,10/15/2018,do,2XXMDz7SPZ4mSFN1PXfHUy
50,TELÉFONO,Aitana,10/15/2018,do,5h8VHxOBK1VWWj46T8fSly
1,MIA (feat. Drake),Bad Bunny,11/15/2018,do,116H0KvKr2Zl4RPuVBruDO
2,Mocca - Remix,Lalo Ebratt,11/15/2018,do,1usoXi4f0BnMART4uActEA
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,11/15/2018,do,4w8niZpiMy6qz1mntFA5uM
4,Imposible,Luis Fonsi,11/15/2018,do,3ao3OVxHlb3C08vAaApUlm
5,Me Voy,Rombai,11/15/2018,do,22sESxzbY1O1E19xjOTaYf
6,when the party's over,Billie Eilish,11/15/2018,do,14JzyD6FlBD5z0wV5P07YI
7,Ruin My Life,Zara Larsson,11/15/2018,do,5tAa8Uaqr4VvA3693mbIhU
8,Sweet but Psycho,Ava Max,11/15/2018,do,25sgk305KZfyuqVBQIahim
9,Replay,Maikel Delacalle,11/15/2018,do,07w6jp4Fq8GGqhLoDYoVkb
10,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,11/15/2018,do,1A6OTy97kk0mMdm78rHsm8
11,Without Me,Halsey,11/15/2018,do,5p7ujcrUXASCNwRaWNHR1C
12,Calma - Remix,Pedro Capó,11/15/2018,do,5iwz1NiezX7WWjnCgY5TH4
13,Mocca,Lalo Ebratt,11/15/2018,do,0NKoPGc72yUKTIneVhFfg1
14,Culpables,Karol G,11/15/2018,do,6q8Lb50EtqNeeJXXe8mMAH
15,Tanta Falta,Bryant Myers,11/15/2018,do,0sPTfDSZgE3KvcvqaKPtEx
16,Está Rico,Marc Anthony,11/15/2018,do,2wRkBumdItthjYP9XknImg
17,PPP,Kevin Roldan,11/15/2018,do,1DcxnVNFAyVl2sDQ646pXS
18,Te echo de menos,Beret,11/15/2018,do,3gPOFPYLgpvQz0ZMwmv7NE
19,1999,Charli XCX,11/15/2018,do,05mAIVLkIWc2d1UBYZBCp8
20,ZEZE (feat. Travis Scott & Offset),Kodak Black,11/15/2018,do,7l3E7lcozEodtVsSTCkcaA
21,Te Soñe,Alajaza,11/15/2018,do,0Q8Nbwyo7EvjM7Jkhxy8KU
22,Always Remember Us This Way,Lady Gaga,11/15/2018,do,2rbDhOo9Fh61Bbu23T2qCk
23,Radio Ga Ga - Live Aid,Queen,11/15/2018,do,0YwBZKT8JE4U5TwmYE9BV9
24,Lirica (Remix),Trainer,11/15/2018,do,4NcBVGly7c0Tyd02NwlgJ4
25,Mo Bamba,Sheck Wes,11/15/2018,do,1xzBco0xcoJEDXktl7Jxrr
26,Zum Zum - Remix,Plan B,11/15/2018,do,2y4XLIaQOPbBJQEr4r9L2Y
27,Cuando Te Besé,Becky G,11/15/2018,do,2XXMDz7SPZ4mSFN1PXfHUy
28,Elizabeth,Jose Manuel,11/15/2018,do,5oeUvTWLikSczpfDaF1r5Q
29,Somebody To Love - Remastered 2011,Queen,11/15/2018,do,6cFZ4PLC19taNlpl9pbGMf
30,Kiss and Make Up,Dua Lipa,11/15/2018,do,13hvHEstJ4sNbzdroPrPI3
31,Amigos Con Derechos,Reik,11/15/2018,do,2zDj4WjbNDmrRL6Z4YjjCA
32,Pa Tu Casa,Kevin Roldan,11/15/2018,do,3TULfiOzT3evheiAbTXOqR
33,Rap Bruto,Residente,11/15/2018,do,5UB4pyeyR7d4LLJfVN4Kis
34,Me Haces Falta,Marko Silva,11/15/2018,do,2V7oXTrAvhhw8pmo6UhC3i
35,Toda - Remix,Alex Rose,11/15/2018,do,7nD2JPaxIKUdxd2UWgnaGL
36,Ibiza,Ozuna,11/15/2018,do,1h9P5WJwyvK8OB7O2YiXgp
37,Mia Khalifa,iLOVEFRiDAY,11/15/2018,do,4iZC3zbvagtT4UbvuwH7fQ
38,Shallow,Lady Gaga,11/15/2018,do,2VxeLyX666F8uXCJ0dZF8B
39,Suncity (feat. Empress Of),Khalid,11/15/2018,do,4AhSkRYioEIfGvCV19peYN
40,La Transa,Rochi,11/15/2018,do,2BaA4FI2TzuKLqJt0iwEVl
41,Vaina Loca,Ozuna,11/15/2018,do,48zFZh27QU5qsrBjn4C2FA
42,Killer Queen - Remastered 2011,Queen,11/15/2018,do,7GqWnsKhMtEW0nzki5o0d8
43,Vuelve,Sebastian Yatra,11/15/2018,do,6WSAPEkvEfcEUgSTAo1D3S
44,Another One Bites The Dust - Remastered 2011,Queen,11/15/2018,do,5vdp5UmvTsnMEMESIF2Ym7
45,Ya No Tiene Novio,Sebastian Yatra,11/15/2018,do,7uQmJ1jgNzBpATSoWKSPFu
46,Una Vez Más,Manuel Turizo,11/15/2018,do,3PKk9pGTfQBINlJrEyrH6c
47,"Mujeres (Mozart La Para, Justin Quiles, Farruko, Jowell & Randy) - Remix",Mozart La Para,11/15/2018,do,1AKP5JySgNsr2Y04z1yGHJ
48,Hipócrita,Anuel Aa,11/15/2018,do,6XBjCetHKdO5L9cwMDVffw
49,SICKO MODE,Travis Scott,11/15/2018,do,2xLMifQCjDGFmkHkpNLD9h
50,RISE,League of Legends,11/15/2018,do,69Sy7207dnixZ6w7RSV9Kb
1,Calma - Remix,Pedro Capó,12/15/2018,do,5iwz1NiezX7WWjnCgY5TH4
2,"thank u, next",Ariana Grande,12/15/2018,do,2rPE9A1vEgShuZxxzR2tZH
3,Adan y Eva,Paulo Londra,12/15/2018,do,6FyRXC8tJUh863JCkyWqtk
4,Ella Quiere Beber - Remix,Anuel Aa,12/15/2018,do,2cYnZNzFRFK0H7vSNxPsUq
5,Replay,Maikel Delacalle,12/15/2018,do,07w6jp4Fq8GGqhLoDYoVkb
6,Reggaeton,J Balvin,12/15/2018,do,2D3z17LBMJ2HEHeBFFjTLi
7,Desconocidos,Mau y Ricky,12/15/2018,do,0s5DNDV6LAKn2u2Ufa3VjQ
8,Bubalu,Becky G,12/15/2018,do,7dNwJbsT0sg1le5kVugGJb
9,Luz Apaga,Ozuna,12/15/2018,do,5Q3e16qE1RE5oilN3ukasm
10,Elizabeth,Jose Manuel,12/15/2018,do,5oeUvTWLikSczpfDaF1r5Q
11,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,12/15/2018,do,1A6OTy97kk0mMdm78rHsm8
12,In My Head,Peter Manos,12/15/2018,do,1tT55K6VEyO6XFDxK4lDQe
13,10 Freaky Girls (with 21 Savage),Metro Boomin,12/15/2018,do,0AluA5RNsa4Cx6XRhf2hWZ
14,Not Steady,Paloma Mami,12/15/2018,do,42ArfZUgGo3k5btIHp08it
15,Los Pomposo,Yomel El Meloso,12/15/2018,do,6VrOzFtjAylmaRV5OsCFeo
16,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,12/15/2018,do,4w8niZpiMy6qz1mntFA5uM
17,Adictiva,Daddy Yankee,12/15/2018,do,6MJUCumnQsQEKbCy28tbCP
18,MIA (feat. Drake),Bad Bunny,12/15/2018,do,116H0KvKr2Zl4RPuVBruDO
19,Llegaste Tú,CNCO,12/15/2018,do,6tT4Ks1N04Ut0lSQ3xjSaZ
20,Créeme,Karol G,12/15/2018,do,1mT47pKLXUwPYGwB91GcNz
21,Imposible,Luis Fonsi,12/15/2018,do,3ao3OVxHlb3C08vAaApUlm
22,Nadie Se Meta,Ala Jaza,12/15/2018,do,0aDK3Wml4OJwC3WXNa82mA
23,Mocca - Remix,Lalo Ebratt,12/15/2018,do,1usoXi4f0BnMART4uActEA
24,Adicto,Prince Royce,12/15/2018,do,4Xqpt53kWML7eTObGxQ43i
25,Sola,Manuel Turizo,12/15/2018,do,675w3ACw5xZR3ODhUJlEVN
26,Asesina - Remix,Brytiago,12/15/2018,do,59PYgzOiOjGDzjDT5N5oOX
27,Reggaetón en lo Oscuro,Wisin & Yandel,12/15/2018,do,7LLXLd0pisbEAdIVK502VM
28,Pa Jamaica,El Alfa,12/15/2018,do,2mJrQM845TqwABVy6WDmIF
29,Te Soñe,Alajaza,12/15/2018,do,0Q8Nbwyo7EvjM7Jkhxy8KU
30,T.T.I.,Rauw Alejandro,12/15/2018,do,4gPpYLervKt4cXmhUjpYLj
31,Ibiza,Ozuna,12/15/2018,do,1h9P5WJwyvK8OB7O2YiXgp
32,ZEZE (feat. Travis Scott & Offset),Kodak Black,12/15/2018,do,0FZ4Dmg8jJJAPJnvBIzD9z
33,Sigue Bailandome,Yannc,12/15/2018,do,0GmiGIxXDNrePrHBpijYDp
34,Sweet but Psycho,Ava Max,12/15/2018,do,25sgk305KZfyuqVBQIahim
35,BAGDAD - Cap.7: Liturgia,ROSALÍA,12/15/2018,do,1zZ7vl1amOLI4GE5oUn0YB
36,Está Rico,Marc Anthony,12/15/2018,do,2wRkBumdItthjYP9XknImg
37,PPP,Kevin Roldan,12/15/2018,do,1DcxnVNFAyVl2sDQ646pXS
38,The Calm,Dream Runner,12/15/2018,do,1nqq9YCuHGnk9YabcqH1bp
39,El Vecino,Sharlene,12/15/2018,do,74ySxdWAaNTGWSeR4d6Vmb
40,Tócamelo (feat. Zion & Lennox),Alaya,12/15/2018,do,6eD5fBDbisNvojxmczKFsy
41,Hurts Like Hell (feat. Offset),Madison Beer,12/15/2018,do,3WefHNGtjexZvi66ZEx9u4
42,Acho Puñeta,Gomba Jahbari,12/15/2018,do,0MVwqLCKyl4robQ5EiQJOP
43,Without Me,Halsey,12/15/2018,do,5p7ujcrUXASCNwRaWNHR1C
44,Culpables,Karol G,12/15/2018,do,6q8Lb50EtqNeeJXXe8mMAH
45,Baby I'm Yours (feat. Irfane),Breakbot,12/15/2018,do,3jhXwlBuSSxd0Vu6Y5pXDv
46,Zum Zum - Remix,Plan B,12/15/2018,do,2y4XLIaQOPbBJQEr4r9L2Y
47,Devuelveme,Ozuna,12/15/2018,do,5uvucCRBTkxv7VxIDLOqe7
48,Mi Cumpleaños 2,"Secreto ""El Famoso Biberon""",12/15/2018,do,7s88EnKoxY7n39FhA8Rr6g
49,Domingo (feat. Cosculluela),Reykon,12/15/2018,do,6ayCEojiJIe5d8DwXVlGU4
50,Veneno,Anitta,12/15/2018,do,1KFN3kB4hc6r7ILpifFsqf
1,EL BAÑO,Enrique Iglesias,1/15/2018,ec,2vvdTrdryjsl8DmPIMDWZU
2,Movimiento Naranja Yuawi,Yuawi,1/15/2018,ec,7yJhseqU4pncHX90Tbalmp
3,Corazón,Maluma,1/15/2018,ec,4lESS6vuruP6a79KWRaQou
4,Déjala que vuelva (feat. Manuel Turizo),Piso 21,1/15/2018,ec,33bnxcjePIkcmNjEFTJX0l
5,Échame La Culpa,Luis Fonsi,1/15/2018,ec,1zsG4eaZmkA1dvjDDsAGLK
6,Movimiento Naranja,Mickey Vivas,1/15/2018,ec,4VIMregDOW5iIaVUAwhI5h
7,Recuérdame (Reencuentro),Luis Ángel Gómez Jaramillo,1/15/2018,ec,0rUeyAypoUUFzobbSWOe0U
8,Recuérdame (Arrullo),Gael Garcia Bernal,1/15/2018,ec,4fU3wz8wbjWZea4YYF04iR
9,My My My!,Troye Sivan,1/15/2018,ec,2Tq2R8sRftNEqdgJK5HadO
10,Un Poco Loco,Luis Ángel Gómez Jaramillo,1/15/2018,ec,65vseJi4kug0grGTTSmH2u
11,Bella,Wolfine,1/15/2018,ec,4R55IUi2x7S5ek2SpebOiE
12,La Llorona,Angelica Vale,1/15/2018,ec,5HIXwsSwowXq6zerUeqD7l
13,#Natural,Paty Cantú,1/15/2018,ec,3cRJo0hXMcrXa7oLfAUU4d
14,Rewrite The Stars,Zac Efron,1/15/2018,ec,630sXRhIcfwr2e4RdNtjKN
15,Nowadays (feat. Landon Cube),Lil Skies,1/15/2018,ec,2u7mxWSeoqTXndK5e08jMp
16,Downtown,Anitta,1/15/2018,ec,3Ga6eKrUFf12ouh9Yw3v2D
17,Bum Bum Tam Tam,MC Fioti,1/15/2018,ec,4zWO4gvuFtw6EJZC5FFGlr
18,Scooby Doo Pa Pa,Dj Kass,1/15/2018,ec,1xndOD8CreR5ctkOv5G1LN
19,Éramos tú y yo,Felipe Santos,1/15/2018,ec,1kbs9WhfvoIUwm7SfHaddu
20,Vete,Khea,1/15/2018,ec,2rZB6indPhp8C5AZK1PpkS
21,Sensualidad,Bad Bunny,1/15/2018,ec,5hcisvFMidkMJlElTO9Qmw
22,Havana - Remix,Camila Cabello,1/15/2018,ec,3whrwq4DtvucphBPUogRuJ
23,Mayores,Becky G,1/15/2018,ec,7JNh1cfm0eXjqFVOzKLyau
24,Never Be the Same,Camila Cabello,1/15/2018,ec,4eWQlBRaTjPPUlzacqEeoQ
25,All The Stars (with SZA),Kendrick Lamar,1/15/2018,ec,12SJpYZEdj4kzWZ8FPFg4Y
26,This Is Me,Keala Settle,1/15/2018,ec,2xGjteMU3E1tkEPVFBO08U
27,Criminal,Natti Natasha,1/15/2018,ec,6Za3190Sbw39BBC77WSS1C
28,She Loves Control,Camila Cabello,1/15/2018,ec,5HwnezK198pJCEj1l2Adjy
29,Finesse (Remix) [feat. Cardi B],Bruno Mars,1/15/2018,ec,3Vo4wInECJQuz9BIBMOu8i
30,Consequences,Camila Cabello,1/15/2018,ec,7sTtHHrD0zDpmzQzH3zegz
31,Never Enough,Loren Allred,1/15/2018,ec,0Gl5s8IhMmQE5YQwM8Qx1J
32,A Million Dreams,Ziv Zaifman,1/15/2018,ec,0RoA7ObU6phWpqhlC9zH4Z
33,El Latido de mi Corazón,Luis Ángel Gómez Jaramillo,1/15/2018,ec,5GqGavoD0DCHBcRxfRK7v1
34,Do Right,Glades,1/15/2018,ec,45w70aQhNwke1yrQZO0ffm
35,Como a Rata (feat. El Chusco),Maikitol,1/15/2018,ec,4awYe06eS0fUOineQxKCtO
36,The Greatest Show,Hugh Jackman,1/15/2018,ec,43ay9lQZ5rfNcOOHhRF2cM
37,For You (Fifty Shades Freed) (& Rita Ora),Liam Payne,1/15/2018,ec,5hM6sP0Gh1jD57drszNueC
38,El Granjero,Arcangel,1/15/2018,ec,7k3SjypJ8lF9WWu8Op0We0
39,Déjate Llevar,Juan Magán,1/15/2018,ec,3xWEI23MLJrD0dpDcDUTW6
40,Amantes,Greeicy,1/15/2018,ec,3IyPnNX142pvWx6D5CiimD
41,Filthy,Justin Timberlake,1/15/2018,ec,1L3NV7VrCiuE8C5QlhdeQL
42,Something's Gotta Give,Camila Cabello,1/15/2018,ec,7IL3UOlcJ6nmcCMwpnlfcA
43,Juanita,Gael Garcia Bernal,1/15/2018,ec,4mYP7bL8Imnrgry1Uxqn7N
44,Por Pura Curiosidad,Fonseca,1/15/2018,ec,1kLTaKK1qbtGuxggUtz8iz
45,Him & I (with Halsey),G-Eazy,1/15/2018,ec,5k38wzpLb15YgncyWdTZE4
46,Quiero Repetir,Ozuna,1/15/2018,ec,0MIcPSq9n2z5H8TAfEstri
47,Que Va,Alex Sensation,1/15/2018,ec,7ofxPmTNMj2GP07g1VZa0O
48,Suena El Dembow,Joey Montana,1/15/2018,ec,5TysCiZtv1HnSWcTcUFusI
49,All These Years,Camila Cabello,1/15/2018,ec,4XLu3tTSZiPFVC9mmuR6Zp
50,Esperándote,Manuel Turizo,1/15/2018,ec,1nfyE13arjOuO54HH0zmqj
1,Mi Mala - Remix,Mau y Ricky,2/15/2018,ec,6kOHug1s9Nd5gsHrX8irs2
2,Dura,Daddy Yankee,2/15/2018,ec,2j2fIJGh4PMdXt9ULI5Tlc
3,Bella,Wolfine,2/15/2018,ec,4R55IUi2x7S5ek2SpebOiE
4,Mine,Bazzi,2/15/2018,ec,6tHWl8ows5JOZq9Yfaqn3M
5,All Through the Night,Mateo Vargas,2/15/2018,ec,5Y4YPOt3zXMt6xvVprvvrh
6,Sal,La Máquina Camaleón,2/15/2018,ec,5Og0UM8SJNYfB0W4ZhHT2b
7,EL BAÑO,Enrique Iglesias,2/15/2018,ec,2vvdTrdryjsl8DmPIMDWZU
8,No Te Vas,Nacho,2/15/2018,ec,6yuArSnBrhykjkCxb8eXvl
9,"Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo)",Steve Aoki,2/15/2018,ec,5e45GhSF18JYoLpaq2F48h
10,No Hay Nadie Más,Sebastian Yatra,2/15/2018,ec,6wos8Ds5FKMe33GjBHRake
11,X (with 2 Chainz & Saudi),ScHoolboy Q,2/15/2018,ec,4LmAnpjlhWTahvRkYR8xJa
12,Esperándote,Manuel Turizo,2/15/2018,ec,1nfyE13arjOuO54HH0zmqj
13,Duro y Suave,Leslie Grace,2/15/2018,ec,31M5m42C3EGlbydf9XB5to
14,Déjala que vuelva (feat. Manuel Turizo),Piso 21,2/15/2018,ec,33bnxcjePIkcmNjEFTJX0l
15,FRIENDS,Marshmello,2/15/2018,ec,08bNPGLD8AhKpnnERrAc6G
16,Corazón,Maluma,2/15/2018,ec,4lESS6vuruP6a79KWRaQou
17,Quiéreme - Remix,Jacob Forever,2/15/2018,ec,782JmkLy6uVD8MW0EJrih9
18,Bum Bum Tam Tam,MC Fioti,2/15/2018,ec,4zWO4gvuFtw6EJZC5FFGlr
19,Amantes de una Noche,Natti Natasha,2/15/2018,ec,2iCOdoyDmWG3hWkbtH1KB2
20,Pem Pem,Elettra Lamborghini,2/15/2018,ec,6NprDUe0yiLIVGgcnFGgtq
21,Fantasía,Alex Sensation,2/15/2018,ec,2ZwFbSPQDdVIucGNQZbrE5
22,El Farsante - Remix,Ozuna,2/15/2018,ec,7uYgVgRSgqluZclLS7wpp4
23,"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,2/15/2018,ec,51rXHuKN8Loc4sUlKPODgH
24,Échame La Culpa,Luis Fonsi,2/15/2018,ec,1zsG4eaZmkA1dvjDDsAGLK
25,Machika,J Balvin,2/15/2018,ec,6MNGxu8MprKGkchUchkJsy
26,Downtown,Anitta,2/15/2018,ec,3Ga6eKrUFf12ouh9Yw3v2D
27,Déjate Llevar,Juan Magán,2/15/2018,ec,3xWEI23MLJrD0dpDcDUTW6
28,Look Alive (feat. Drake),BlocBoy JB,2/15/2018,ec,4qKcDkK6siZ7Jp1Jb4m0aL
29,Solita,Ozuna,2/15/2018,ec,7rwX0O3RlxqqIjQM8evm5E
30,Tonta,R.K.M & Ken-Y,2/15/2018,ec,5ZjJT7BB8OoVjyRZRYGen8
31,Scooby Doo Pa Pa,Dj Kass,2/15/2018,ec,7qwULjvTujatIaoWC1lu8b
32,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,2/15/2018,ec,3TnhQSRwT3AVMdXw5JPq0x
33,Sensual Inspiration,Jowell & Randy,2/15/2018,ec,5zFMNDK1AaiHko0sx6vWhC
34,Dembow,Danny Ocean,2/15/2018,ec,2EzRdhuoPyNJDlep7lnNf2
35,Ahora Se - Remix,Menor Menor,2/15/2018,ec,6NsumGzxhtodhH48pcLpwz
36,No Nos Sobran los Domingos - Versión Bachata,Debi Nova,2/15/2018,ec,1SMj7Rwk576dbbd0VsULVT
37,Opps (with Yugen Blakrok),Vince Staples,2/15/2018,ec,7bUcBztfGqO7cSI2gMZeCI
38,Amantes,Greeicy,2/15/2018,ec,3IyPnNX142pvWx6D5CiimD
39,Sensualidad,Bad Bunny,2/15/2018,ec,5hcisvFMidkMJlElTO9Qmw
40,All The Stars (with SZA),Kendrick Lamar,2/15/2018,ec,2Imq77E6CEJR5TPUxlJvTY
41,El Juego (Acústico) [feat. Eduardo Iensen],WH,2/15/2018,ec,4bLmphWBoiHMOytRliT7yb
42,The Ways (with Swae Lee),Khalid,2/15/2018,ec,5jyyPsIGM2yqkZN9R3TmvN
43,Paramedic!,SOB X RBE,2/15/2018,ec,2tPcTFiQF9MbVUyjZ3zDhA
44,Carnaval De Guaranda (Danzante),Los Cuatro del Altiplano,2/15/2018,ec,4QAw1miS5RCwG8jggrAHKO
45,Devora - Remix,Waldokinc El Troyano,2/15/2018,ec,2ml8vqJbzZNVlERecDoj8K
46,Never Tear Us Apart,Bishop Briggs,2/15/2018,ec,0gCUCcO60ViO5H51y4lDkS
47,Me Enamoré (feat. El Micha),Angeles,2/15/2018,ec,65ARgdo0P4TlRtOSWnySOv
48,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2/15/2018,ec,5CLGzJsGqhCEECcpnFQA8x
49,Síguelo Bailando,Ozuna,2/15/2018,ec,5Y9fnynLlIvqtM710MHzfz
50,Envidiosos,Dimelo Flow,2/15/2018,ec,6pJl2iPcXIyhVJHwKlega5
1,Unforgiven,Ghost Nation,3/15/2018,ec,7187AJ4dx3wEqADjExHP30
2,X,Nicky Jam,3/15/2018,ec,39N9RPD9MRb5WmoLzNzPeA
3,Simples Corazones,Fonseca,3/15/2018,ec,6SVEw266UzbkAKfCLeBPGy
4,All Through the Night,Mateo Vargas,3/15/2018,ec,5Y4YPOt3zXMt6xvVprvvrh
5,Me Niego,Reik,3/15/2018,ec,6jA8JUuPCGYjFcgw0AoM5T
6,Amorfoda,Bad Bunny,3/15/2018,ec,3ITvHA9zhZZdBJsOsAUegF
7,Tell Me You Love Me - Spanish Version,Demi Lovato,3/15/2018,ec,2scOpCkXHdjx5Pba0T1S68
8,Dura,Daddy Yankee,3/15/2018,ec,2j2fIJGh4PMdXt9ULI5Tlc
9,El Préstamo,Maluma,3/15/2018,ec,0QS5rZpm5zN9wV9lJgjyUE
10,"Culpa, Tengo",Elsa Y Elmar,3/15/2018,ec,4bKQUb2YadX9zaek1ngZKj
11,Nadie ha dicho (feat. Gente de Zona),Laura Pausini,3/15/2018,ec,0HGrhbUerQKu89GCy3zmlY
12,Lo siento,Beret,3/15/2018,ec,7HNJNqsBZ7qc6UmYEq8bie
13,Bella Ciao,"Interpreti dello spettacolo ""Bella Ciao""",3/15/2018,ec,0EayXisPHaulRoFgazbi0A
14,No Hay Nadie Más,Sebastian Yatra,3/15/2018,ec,6wos8Ds5FKMe33GjBHRake
15,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,3/15/2018,ec,4QtiVmuA88tPQiCOHZuQ5b
16,Mírame,Melendi,3/15/2018,ec,3wqhLKC5Vd00TPYNS9QaIt
17,Pineapple,Karol G,3/15/2018,ec,24snQ8Ew7aIKYCt0ulXHvx
18,Magic,Rudy Mancuso,3/15/2018,ec,2DvgLLX2ByteZyFz8ByGX4
19,SAD!,XXXTENTACION,3/15/2018,ec,35ieKju5aLWFN5UgfJ27mL
20,Déjala Que Baile,Melendi,3/15/2018,ec,2KK9N6iBAisA0booTu3bGd
21,Bella,Wolfine,3/15/2018,ec,3xcCix7Jv1Rp90YVmgo35D
22,Scooby Do Papa,LA TROPA ESTRELLA,3/15/2018,ec,7z40c1h4BcXMSEL4M3oikq
23,Azul,Zoé,3/15/2018,ec,1HM9uVbB4DVQh0QlwY7W6v
24,Mor,Ami Rodriguezz,3/15/2018,ec,0HGoUFjnLX2YuFXxcopZdR
25,Everyday,Logic,3/15/2018,ec,4EAV2cKiqKP5UPZmY6dejk
26,Déjala que vuelva (feat. Manuel Turizo),Piso 21,3/15/2018,ec,33bnxcjePIkcmNjEFTJX0l
27,All My Life Is You,Mateo Vargas,3/15/2018,ec,5a5DGwQ9S0uBzDMHvBFs7Y
1,Te Boté - Remix,Nio Garcia,5/15/2018,ec,3V8UKqhEK5zBkBb6d6ub8i
2,This Is America,Childish Gambino,5/15/2018,ec,0b9oOr2ZgvyQu88wzixux9
3,Dicen,Matt Hunter,5/15/2018,ec,4cfoVJxpHqUqTvBrG1RTyi
4,Señora... Señora... Señora,Denise De Kalafe,5/15/2018,ec,1gpnjVCS2P9BPug3FvHpgW
5,Sexo (feat. iLe),Residente,5/15/2018,ec,0j00zu3FKBWSu1Hyt2Ivcj
6,Oye Mujer,Raymix,5/15/2018,ec,5aLELbBB0Pa7TlGJJyBJo9
7,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,5/15/2018,ec,4hQ6UGyWQIGJmHSo0J88JW
8,Sin Pijama,Becky G,5/15/2018,ec,2ijef6ni2amuunRoKTlgww
9,La Vida Sin Ti,Piso 21,5/15/2018,ec,1RvL7eHoeUolnQbWm2Hnba
10,Bella - Remix,Wolfine,5/15/2018,ec,0SaYeGhSXN0dDWstyNTQ56
11,Dura - Remix,Daddy Yankee,5/15/2018,ec,6U2NuJILEOEpW2tVCuqKHb
12,Marinero,Maluma,5/15/2018,ec,0IEUbDOzcwi6Ju1ZAJ23rk
13,Dimelo,Paulo Londra,5/15/2018,ec,3uwehoqKSQLa5lFFvIX6M3
14,Están Pa´ Mí,Jhay Cortez,5/15/2018,ec,37eNjXNfxGEKpWP7VIwMtI
15,Tranquility Base Hotel & Casino,Arctic Monkeys,5/15/2018,ec,2URDbWGmPz3vhagl25p8OC
16,GOTTI,6ix9ine,5/15/2018,ec,27oFpFktCq9JIXjJQRuv7a
17,Qué Tienes Tú,Dvicio,5/15/2018,ec,4txQPJDlvU72lC6EMhT7m9
18,El Clavo - Remix,Prince Royce,5/15/2018,ec,6bI00brFpeprqCDqKouEJS
19,Famous,Mason Ramsey,5/15/2018,ec,2HGymMoOdB4ZYv0AAqYmgF
20,La Mejor de Todas,Josimar y Su Yambú,5/15/2018,ec,0LbfthzsswFp1T15s6PMk0
21,Me Niego,Reik,5/15/2018,ec,6jA8JUuPCGYjFcgw0AoM5T
22,Mi Cama,Karol G,5/15/2018,ec,7sFYVcKSb24qg0dAkqLEFj
23,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,5/15/2018,ec,3TnhQSRwT3AVMdXw5JPq0x
24,Por Perro,Sebastian Yatra,5/15/2018,ec,1XM5PgxjpYcF0JuE9nfUbS
25,X,Nicky Jam,5/15/2018,ec,39N9RPD9MRb5WmoLzNzPeA
26,Bella ciao - HUGEL Remix,El Profesor,5/15/2018,ec,2dQzfKRaMKUCQgMpOtpLTh
27,Four Out Of Five,Arctic Monkeys,5/15/2018,ec,5Z5nbOXhsSbySVC7WUc6y9
28,No Es Justo,J Balvin,5/15/2018,ec,1RTlTuLOdnmgbe11ynwR7c
29,Culpable O No - Miénteme Como Siempre,Luis Miguel,5/15/2018,ec,7BwxbmYFy0l3ROHDjV2c14
30,Duro y Suave,Leslie Grace,5/15/2018,ec,31M5m42C3EGlbydf9XB5to
31,One Kiss (with Dua Lipa),Calvin Harris,5/15/2018,ec,7ef4DlsgrMEH11cDZd32M6
32,Star Treatment,Arctic Monkeys,5/15/2018,ec,0b93tWwuoAC0nXe1CfR30I
33,El Innombrable,Dayanara,5/15/2018,ec,3JFzsCo3WGlaSxd5orHUff
34,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,5/15/2018,ec,4QtiVmuA88tPQiCOHZuQ5b
35,El Préstamo,Maluma,5/15/2018,ec,0QS5rZpm5zN9wV9lJgjyUE
36,Audio,Sia,5/15/2018,ec,7boPPE857KEqCIHNwFkDop
37,Déjala Que Baile,Melendi,5/15/2018,ec,2KK9N6iBAisA0booTu3bGd
38,I Like It,Cardi B,5/15/2018,ec,58q2HKrzhC3ozto2nDdN4z
39,Hands On Me,BURNS,5/15/2018,ec,2GC8vo2NO9u28G7kBIuP0j
40,Agua Marfil,Usted Señalemelo,5/15/2018,ec,6mYdnKt43uGw3gmtOz4yQi
