Position,Track Name,Artist,date,region,id
4,Maybe I’m Amazed - Bonus Track,Jamie Dornan,2/15/2018,ar,5H9ViTP1ZlOlRFhey8SUsA
5,Look Alive (feat. Drake),BlocBoy JB,2/15/2018,ar,4qKcDkK6siZ7Jp1Jb4m0aL
6,Bella Ciao,"Interpreti dello spettacolo ""Bella Ciao""",2/15/2018,ar,0EayXisPHaulRoFgazbi0A
7,Bella,Wolfine,2/15/2018,ar,4R55IUi2x7S5ek2SpebOiE
8,Bella ciao,Modena City Ramblers,2/15/2018,ar,3NwVga1qCZ6TgJ8RVcBbKD
9,Mine,Bazzi,2/15/2018,ar,6tHWl8ows5JOZq9Yfaqn3M
10,"The Wolf - From ""Fifty Shades Freed (Original Motion Picture Soundtrack)""",The Spencer Lee Band,2/15/2018,ar,2TCNvoLwNkmmD3ss6uwQeN
11,Papi Shampu - Remix,Papichamp,2/15/2018,ar,59OkRePJ0TUXyN0tfYCQ6q
12,EL BAÑO,Enrique Iglesias,2/15/2018,ar,2vvdTrdryjsl8DmPIMDWZU
13,Corazón,Maluma,2/15/2018,ar,4lESS6vuruP6a79KWRaQou
14,Pem Pem,Elettra Lamborghini,2/15/2018,ar,6NprDUe0yiLIVGgcnFGgtq
15,Redemption (with Babes Wodumo),Zacari,2/15/2018,ar,76iVOVsliCHlWqKuDnCfhE
16,Scooby Doo Pa Pa,Dj Kass,2/15/2018,ar,7qwULjvTujatIaoWC1lu8b
17,Mojaa,Bhavi,2/15/2018,ar,1XT4N8ostsFZcZNDio0jWL
18,Paramedic!,SOB X RBE,2/15/2018,ar,2tPcTFiQF9MbVUyjZ3zDhA
19,High (& Dua Lipa),Whethan,2/15/2018,ar,7lAeknkZz0KCk2RmAZESHF
20,Déjala que vuelva (feat. Manuel Turizo),Piso 21,2/15/2018,ar,33bnxcjePIkcmNjEFTJX0l
21,X (with 2 Chainz & Saudi),ScHoolboy Q,2/15/2018,ar,4LmAnpjlhWTahvRkYR8xJa
22,Motta Boyz,Sander Wazz,2/15/2018,ar,4h5xZ1w3QbpycgQrSiHoWK
