Position,Track Name,Artist,Streams,date,region,id,uri,happiness,energy,danceability,loudness,speechiness,instrumentalness
14,Without You (feat. Sandro Cavazza),Avicii,2280,9/1/2017,lt,6WbADFqMvR8N5u0BvtsWQE,spotify:track:6WbADFqMvR8N5u0BvtsWQE,,,,,,
60,Reggaetón Lento (Bailemos),CNCO,2280,9/1/2017,pa,3AEZUABDXNtecAOSC1qTfo,spotify:track:3AEZUABDXNtecAOSC1qTfo,,,,,,
196,Tú Sí Sabes Quererme (feat. Los Macorinos),Natalia Lafourcade,2279,3/3/2017,cr,6p3yxt0uJJshAS3CT0znQg,spotify:track:6p3yxt0uJJshAS3CT0znQg,,,,,,
62,Deja vu,Prince Royce,2279,7/7/2017,do,46HdsiK0uR26B2dY9QPzda,spotify:track:46HdsiK0uR26B2dY9QPzda,,,,,,
160,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,Pitbull,2279,11/24/2017,ec,2Vdub5mY4lad7w64bFPUez,spotify:track:2Vdub5mY4lad7w64bFPUez,,,,,,
21,Échame La Culpa,Luis Fonsi,2279,11/24/2017,gr,1zsG4eaZmkA1dvjDDsAGLK,spotify:track:1zsG4eaZmkA1dvjDDsAGLK,,,,,,
58,Stay (with Alessia Cara),Zedd,2279,9/1/2017,hu,0dA2Mk56wEzDgegdC6R17g,spotify:track:0dA2Mk56wEzDgegdC6R17g,,,,,,
63,Galway Girl,Ed Sheeran,2279,11/24/2017,hu,0afhq8XCExXpqazXczTSve,spotify:track:0afhq8XCExXpqazXczTSve,,,,,,
64,Something Just Like This,The Chainsmokers,2278,11/24/2017,hu,6RUKPb4LETWmmr3iAEQktW,spotify:track:6RUKPb4LETWmmr3iAEQktW,,,,,,
185,September Song,JP Cooper,2277,9/1/2017,at,0FuTx2s3YH1ppmtiM6l0zI,spotify:track:0FuTx2s3YH1ppmtiM6l0zI,,,,,,
69,Diabla - Official Remix,Farruko,2277,11/24/2017,do,2OxUtaKYeahAGNaBiahXtR,spotify:track:2OxUtaKYeahAGNaBiahXtR,,,,,,
68,Bailame Despacio,Xantos,2277,7/7/2017,gt,4OaTpLJIa2harufGxfOPUu,spotify:track:4OaTpLJIa2harufGxfOPUu,,,,,,
59,OMG,Camila Cabello,2277,9/1/2017,hu,4xBjsLUSjcx2h7PcRikpQp,spotify:track:4xBjsLUSjcx2h7PcRikpQp,,,,,,
148,No Roots,Alice Merton,2276,3/3/2017,at,4bPWDXpN6MlTZBedxega3X,spotify:track:4bPWDXpN6MlTZBedxega3X,,,,,,
144,The Cure,Lady Gaga,2276,7/7/2017,at,51PIvodunv6NmX5250zxAh,spotify:track:51PIvodunv6NmX5250zxAh,,,,,,
48,Traicionera - Remix,Sebastian Yatra,2276,4/14/2017,py,2webQDZmtGioeu3zUUi9We,spotify:track:2webQDZmtGioeu3zUUi9We,,,,,,
194,Para Sempre - Unplugged (feat. Seu Jorge),Dengaz,2276,3/3/2017,pt,1F0a1Iz8EHwUq35gDBSGih,spotify:track:1F0a1Iz8EHwUq35gDBSGih,,,,,,
88,Bajito No,Los Negroni,2276,12/8/2017,uy,2NbMHtHIp8jH4oglpEx0Jc,spotify:track:2NbMHtHIp8jH4oglpEx0Jc,,,,,,
