Position,Track Name,Artist,Streams,date,region,id,uri,happiness,energy,danceability,loudness,speechiness,instrumentalness
176,Waterfall,Stargate,19824,4/14/2017,se,7pYFPMeK0TnaTGdS6qOtEr,spotify:track:7pYFPMeK0TnaTGdS6qOtEr,0.419,0.919,0.372,-1.68,0.3,0
11,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,19823,1/6/2017,my,5knuzwU65gJK7IF5yJsuaW,spotify:track:5knuzwU65gJK7IF5yJsuaW,0.742,0.763,0.72,-4.068,0.0523,0
32,Starboy,The Weeknd,19823,3/3/2017,pl,5aAx2yezTd8zXrkmtKl66Z,spotify:track:5aAx2yezTd8zXrkmtKl66Z,0.535,0.594,0.681,-7.028,0.282,3.49E-06
8,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,19823,9/1/2017,pt,5bcTCxgc7xVfSaMV3RuVke,spotify:track:5bcTCxgc7xVfSaMV3RuVke,0.872,0.745,0.893,-3.105,0.0571,0
123,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcangel,19822,4/14/2017,es,6NSMQFKgjpQb0KkjMDYIK0,spotify:track:6NSMQFKgjpQb0KkjMDYIK0,0.623,0.514,0.815,-9.446,0.361,0
189,Dynamite (feat. Pretty Sister),Nause,19822,7/7/2017,se,2Ae5awwKvQpTBKQHr1TYCg,spotify:track:2Ae5awwKvQpTBKQHr1TYCg,0.693,0.801,0.811,-6,0.0802,2.09E-05
7,Symphony (feat. Zara Larsson),Clean Bandit,19822,4/14/2017,ch,1x5sYLZiu9r5E43kMlt9f8,spotify:track:1x5sYLZiu9r5E43kMlt9f8,0.457,0.629,0.707,-4.581,0.0563,1.60E-05
183,Contrefaçon,Rim'K,19820,3/3/2017,fr,1muQMssS01sL8fy88utc1n,spotify:track:1muQMssS01sL8fy88utc1n,0.574,0.695,0.838,-7.044,0.42,0
34,Qué Bonito,Vicky Corbacho,19820,4/14/2017,pe,5rhQzYGJqaSOO1RcZFbtQb,spotify:track:5rhQzYGJqaSOO1RcZFbtQb,0.742,0.72,0.704,-3.945,0.03,0
174,Scared to Be Lonely,Martin Garrix,19815,8/4/2017,es,3ebXMykcMXOcLeJ9xZ17XH,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,0.195,0.54,0.584,-7.786,0.0576,0
4,Shape of You,Ed Sheeran,19814,5/12/2017,ec,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,0.931,0.652,0.825,-3.183,0.0802,0
115,Andas En Mi Cabeza,Chino & Nacho,19813,11/24/2017,cl,5mey7CLLuFToM2P68Qu1gF,spotify:track:5mey7CLLuFToM2P68Qu1gF,0.521,0.954,0.68,-1.823,0.119,0
64,Visceral,Bernhoft,19813,1/6/2017,no,5Wz7lWQGr7AC1LWutvzINn,spotify:track:5Wz7lWQGr7AC1LWutvzINn,0.319,0.465,0.457,-8.244,0.101,3.33E-06
83,Ashanti,Unge Ferrari,19813,3/3/2017,no,3XaADTPx4bTF5UT5mcgfsV,spotify:track:3XaADTPx4bTF5UT5mcgfsV,0.623,0.665,0.536,-5.691,0.353,0
171,Don't Wanna Know,Maroon 5,19812,5/12/2017,es,5MFzQMkrl1FOOng9tq6R9r,spotify:track:5MFzQMkrl1FOOng9tq6R9r,0.447,0.623,0.783,-6.126,0.08,0
178,"Come, Come, Come - Radio Edit",DJDURAN,19811,3/3/2017,es,0lDCWl2Uj2M8YB8lYk7rXn,spotify:track:0lDCWl2Uj2M8YB8lYk7rXn,0.651,0.815,0.772,-3.32,0.0724,0
68,Arvon Leidit,Teflon Brothers,19810,5/12/2017,fi,5bcjHhl0JgWet9jrSGNmIl,spotify:track:5bcjHhl0JgWet9jrSGNmIl,0.732,0.876,0.717,-4.027,0.0597,0.000152
133,Solo Dance,Martin Jensen,19810,1/6/2017,ph,6HUnnBwYZqcED1eQztxMBN,spotify:track:6HUnnBwYZqcED1eQztxMBN,0.36,0.836,0.744,-2.396,0.0507,0
31,Rollin (feat. Future & Khalid),Calvin Harris,19808,7/7/2017,nz,0lMbuWUpfTWhEmOKxppEau,spotify:track:0lMbuWUpfTWhEmOKxppEau,0.657,0.76,0.753,-4.518,0.0859,3.13E-05
