Position,Track Name,Artist,Streams,date,region,id,uri,happiness,energy,danceability,loudness,speechiness,instrumentalness
65,Bum Bum Tam Tam,MC Fioti,111915,11/24/2017,br,7KBfjlQ85Fqs2MCCvXSW0c,spotify:track:7KBfjlQ85Fqs2MCCvXSW0c,,,,,,
20,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,111914,9/1/2017,se,5bcTCxgc7xVfSaMV3RuVke,spotify:track:5bcTCxgc7xVfSaMV3RuVke,,,,,,
15,Cold Water (feat. Justin Bieber & MØ),Major Lazer,111883,1/6/2017,ph,6DNtNfH8hXkqOX1sjqmI7p,spotify:track:6DNtNfH8hXkqOX1sjqmI7p,,,,,,
17,Solo Dance,Martin Jensen,111851,4/14/2017,se,6HUnnBwYZqcED1eQztxMBN,spotify:track:6HUnnBwYZqcED1eQztxMBN,,,,,,
18,"How Far I'll Go - From ""Moana""",Alessia Cara,111843,4/14/2017,se,5hYTyyh2odQKphUbMqc5gN,spotify:track:5hYTyyh2odQKphUbMqc5gN,,,,,,
48,Dusk Till Dawn - Radio Edit,ZAYN,111830,11/24/2017,mx,1j4kHkkpqZRBwE0A4CN4Yv,spotify:track:1j4kHkkpqZRBwE0A4CN4Yv,,,,,,
18,2U (feat. Justin Bieber),David Guetta,111811,9/1/2017,nl,3A7qX2QjDlPnazUsRk5y0M,spotify:track:3A7qX2QjDlPnazUsRk5y0M,,,,,,
12,Havana,Camila Cabello,111772,11/24/2017,it,0ofbQMrRDsUaVKq2mGLEAb,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,,,,,,
16,Perfect Strangers,Jonas Blue,111763,1/6/2017,ph,1CUVN2kn7mW5FjkqXTR2W1,spotify:track:1CUVN2kn7mW5FjkqXTR2W1,,,,,,
8,Ric Flair Drip (& Metro Boomin),Offset,111750,11/24/2017,ca,7sO5G9EABYOXQKNPNiE9NR,spotify:track:7sO5G9EABYOXQKNPNiE9NR,,,,,,
50,Paris,The Chainsmokers,111744,5/12/2017,mx,72jbDTw1piOOj770jWNeaG,spotify:track:72jbDTw1piOOj770jWNeaG,,,,,,
16,Robarte un Beso,Carlos Vives,111702,9/1/2017,ar,4z3GJkrtH97Bj6fRta983T,spotify:track:4z3GJkrtH97Bj6fRta983T,,,,,,
16,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,111670,4/14/2017,es,6kex4EBAj0WHXDKZMEJaaF,spotify:track:6kex4EBAj0WHXDKZMEJaaF,,,,,,
13,Sconosciuti da una vita,J-AX,111641,11/24/2017,it,2x82H3RSJRRQKZDMFlIpG3,spotify:track:2x82H3RSJRRQKZDMFlIpG3,,,,,,
11,How Long,Charlie Puth,111625,11/24/2017,ph,32DGGj6KlNuBr6WaqRxpxi,spotify:track:32DGGj6KlNuBr6WaqRxpxi,,,,,,
64,Todo Dia,Pabllo Vittar,111577,7/7/2017,br,3iDY4SzUHPkC3WTXpfxXJG,spotify:track:3iDY4SzUHPkC3WTXpfxXJG,,,,,,
21,2U (feat. Justin Bieber),David Guetta,111567,9/1/2017,se,3A7qX2QjDlPnazUsRk5y0M,spotify:track:3A7qX2QjDlPnazUsRk5y0M,,,,,,
13,Como Antes (feat. Wisin),Yandel,111564,11/24/2017,cl,5YzA563GXTuwQaRq24z1k5,spotify:track:5YzA563GXTuwQaRq24z1k5,,,,,,
55,Blackout,RIN,111545,9/1/2017,de,0AuhdBr6C98i37znwH4e69,spotify:track:0AuhdBr6C98i37znwH4e69,,,,,,
