Position,Track Name,Artist,Streams,date,region,id,uri,happiness,energy,danceability,loudness,speechiness,instrumentalness
196,Beast,Tungevaag & Raaban,18582,2/3/2017,se,6ZbiaHwI9x7CIxYGOEmXxd,spotify:track:6ZbiaHwI9x7CIxYGOEmXxd,,,,,,
149,Díganle,Leslie Grace,18581,11/24/2017,ar,4C1opPFRPafp6yj4AJPBRB,spotify:track:4C1opPFRPafp6yj4AJPBRB,,,,,,
197,Faded,Alan Walker,18581,10/27/2017,se,7gHs73wELdeycvS48JfIos,spotify:track:7gHs73wELdeycvS48JfIos,,,,,,
1,Reggaetón Lento (Bailemos),CNCO,18579,1/6/2017,ec,3AEZUABDXNtecAOSC1qTfo,spotify:track:3AEZUABDXNtecAOSC1qTfo,,,,,,
198,You Don't Know Me - Radio Edit,Jax Jones,18579,10/27/2017,se,00lNx0OcTJrS3MKHcB80HY,spotify:track:00lNx0OcTJrS3MKHcB80HY,,,,,,
167,Fast Car,Jonas Blue,18573,5/12/2017,au,6OZh916QF8XNunWaP97WEZ,spotify:track:6OZh916QF8XNunWaP97WEZ,,,,,,
129,Traicionera,Sebastian Yatra,18571,11/24/2017,cl,5J1c3M4EldCfNxXwrwt8mT,spotify:track:5J1c3M4EldCfNxXwrwt8mT,,,,,,
192,Photograph,Ed Sheeran,18571,5/12/2017,es,6fxVffaTuwjgEk5h9QyRjy,spotify:track:6fxVffaTuwjgEk5h9QyRjy,,,,,,
196,Mon ami,Still Fresh,18570,3/3/2017,fr,46P2kfhXGdwp3OJvl3INXu,spotify:track:46P2kfhXGdwp3OJvl3INXu,,,,,,
88,Attention,Charlie Puth,18569,5/12/2017,cl,4iLqG9SeJSnt0cSPICSjxv,spotify:track:4iLqG9SeJSnt0cSPICSjxv,,,,,,
168,7 Years,Lukas Graham,18568,5/12/2017,au,7129iqBafaphfc3WPCGC0L,spotify:track:7129iqBafaphfc3WPCGC0L,,,,,,
193,I Got You,Bebe Rexha,18568,5/12/2017,es,1FUViuNSldssMIawrOXF2i,spotify:track:1FUViuNSldssMIawrOXF2i,,,,,,
114,Slow Hands,Niall Horan,18567,5/12/2017,no,167NczpNbRF7oWakJaY3Hh,spotify:track:167NczpNbRF7oWakJaY3Hh,,,,,,
131,Thinking out Loud,Ed Sheeran,18566,7/7/2017,ar,1Slwb6dOYkBlWal1PGtnNg,spotify:track:1Slwb6dOYkBlWal1PGtnNg,,,,,,
148,24K Magic,Bruno Mars,18566,9/1/2017,ar,6b8Be6ljOzmkOmFslEb23P,spotify:track:6b8Be6ljOzmkOmFslEb23P,,,,,,
151,Freud (feat. J-Ax),Nek,18561,7/7/2017,it,6ygxTtnjuzStlahqSuiREW,spotify:track:6ygxTtnjuzStlahqSuiREW,,,,,,
120,Playa y Arena (Remix),Mark B.,18559,1/6/2017,es,4Q6Z7fn2xVhPZ1xn0XfEOY,spotify:track:4Q6Z7fn2xVhPZ1xn0XfEOY,,,,,,
193,Tuesday,Burak Yeter,18558,7/7/2017,es,7abpmGpF7PGep2rDU68GBR,spotify:track:7abpmGpF7PGep2rDU68GBR,,,,,,
154,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,18557,1/6/2017,fr,4dASQiO1Eoo3RJvt74FtXB,spotify:track:4dASQiO1Eoo3RJvt74FtXB,,,,,,
111,Redbone,Childish Gambino,18557,6/9/2017,no,3kxfsdsCpFgN412fpnW85Y,spotify:track:3kxfsdsCpFgN412fpnW85Y,,,,,,
137,Acércate (feat. Nicky Jam) - Remix,De La Ghetto,18557,4/14/2017,es,35OC6rMxa8lJi8eDiUVShS,spotify:track:35OC6rMxa8lJi8eDiUVShS,,,,,,
144,It's Gotta Be You,Isaiah,18556,1/6/2017,ph,6cAKeFFYW2aClZSUyvqAEW,spotify:track:6cAKeFFYW2aClZSUyvqAEW,,,,,,
5,Otra Vez (feat. J Balvin),Zion & Lennox,18555,3/3/2017,cr,3QwBODjSEzelZyVjxPOHdq,spotify:track:3QwBODjSEzelZyVjxPOHdq,,,,,,
43,Deja vu,Prince Royce,18554,5/12/2017,co,46HdsiK0uR26B2dY9QPzda,spotify:track:46HdsiK0uR26B2dY9QPzda,,,,,,
148,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,18554,1/6/2017,se,4tCtwWceOPWzenK2HAIJSb,spotify:track:4tCtwWceOPWzenK2HAIJSb,,,,,,
155,Les princes,MZ,18552,1/6/2017,fr,79fzoZLfu1drrTyJwTWD6b,spotify:track:79fzoZLfu1drrTyJwTWD6b,,,,,,
34,Just Hold On,Steve Aoki,18552,2/3/2017,nz,3EmmCZoqpWOTY1g2GBwJoR,spotify:track:3EmmCZoqpWOTY1g2GBwJoR,,,,,,
198,Dancing On My Own,Calum Scott,18550,5/12/2017,nl,02WacdrRpm4zlP8H7X6bnQ,spotify:track:02WacdrRpm4zlP8H7X6bnQ,,,,,,
195,Thinking out Loud,Ed Sheeran,18550,4/14/2017,se,1Slwb6dOYkBlWal1PGtnNg,spotify:track:1Slwb6dOYkBlWal1PGtnNg,,,,,,
40,AHA,Otsochodzi,18549,12/8/2017,pl,4u3OKUeFXMkfwdY65Gi8FM,spotify:track:4u3OKUeFXMkfwdY65Gi8FM,,,,,,
184,Het Is Een Feit,Broederliefde,18547,8/4/2017,nl,0iuLGMsB9xBbg5D4iabTtT,spotify:track:0iuLGMsB9xBbg5D4iabTtT,,,,,,
38,Alguien Robo,Sebastian Yatra,18546,9/1/2017,co,5i50gKdLAjjIr7UxRT5IVy,spotify:track:5i50gKdLAjjIr7UxRT5IVy,,,,,,
46,Por Fin Te Encontré,Cali Y El Dandee,18544,3/3/2017,co,3GpvoKKWZyTwgbLEM9RmWM,spotify:track:3GpvoKKWZyTwgbLEM9RmWM,,,,,,
16,Complicated (feat. Kiiara),Dimitri Vegas & Like Mike,18543,11/24/2017,be,1Sl3njkhhz8nrSPZroDQ82,spotify:track:1Sl3njkhhz8nrSPZroDQ82,,,,,,
53,Downtown,Anitta,18542,11/24/2017,pe,3Ga6eKrUFf12ouh9Yw3v2D,spotify:track:3Ga6eKrUFf12ouh9Yw3v2D,,,,,,
3,Déjala que vuelva (feat. Manuel Turizo),Piso 21,18541,12/8/2017,py,33bnxcjePIkcmNjEFTJX0l,spotify:track:33bnxcjePIkcmNjEFTJX0l,,,,,,
185,Uno X Uno,Manuel Carrasco,18539,8/4/2017,es,5UT0srpbH055rM8lyCNTJV,spotify:track:5UT0srpbH055rM8lyCNTJV,,,,,,
29,Vacaciones,Wisin,18537,1/6/2017,co,3dQDid3IUNhZy1OehIfYfE,spotify:track:3dQDid3IUNhZy1OehIfYfE,,,,,,
21,By Your Side,Jonas Blue,18537,1/6/2017,sg,1D3ODoXHBLpdxolZRHWV1j,spotify:track:1D3ODoXHBLpdxolZRHWV1j,,,,,,
157,7 Years,Lukas Graham,18536,3/3/2017,au,7129iqBafaphfc3WPCGC0L,spotify:track:7129iqBafaphfc3WPCGC0L,,,,,,
85,Treat You Better,Shawn Mendes,18535,2/3/2017,no,4Hf7WnR761jpxPr5D46Bcd,spotify:track:4Hf7WnR761jpxPr5D46Bcd,,,,,,
124,Gold,Kiiara,18532,1/6/2017,au,6WhzFzROw3aq3rPWjgYlxr,spotify:track:6WhzFzROw3aq3rPWjgYlxr,,,,,,
199,Intro,D-Double,18532,5/12/2017,nl,4vw3C4Ro3OUD0MNmROKm6e,spotify:track:4vw3C4Ro3OUD0MNmROKm6e,,,,,,
101,Don't Quit (feat. Travis Scott & Jeremih),DJ Khaled,18532,7/7/2017,no,4vv1KjUzPwrtDbozizSfQc,spotify:track:4vv1KjUzPwrtDbozizSfQc,,,,,,
196,Bad and Boujee (feat. Lil Uzi Vert),Migos,18532,4/14/2017,se,4Km5HrUvYTaSUfiSGPJeQR,spotify:track:4Km5HrUvYTaSUfiSGPJeQR,,,,,,
14,All I Want for Christmas Is You,Mariah Carey,18532,12/8/2017,ch,0bYg9bo50gSsH3LtXe2SQn,spotify:track:0bYg9bo50gSsH3LtXe2SQn,,,,,,
166,The Sound Of Silence,Disturbed,18530,8/4/2017,se,0eZBeB2xFIS65jQHerispi,spotify:track:0eZBeB2xFIS65jQHerispi,,,,,,
149,No Money,Galantis,18529,1/6/2017,se,0gb1J5UrTpzaU1s3nupgCd,spotify:track:0gb1J5UrTpzaU1s3nupgCd,,,,,,
37,Weak,AJR,18528,3/3/2017,pl,3E2Zh20GDCR9B1EYjfXWyv,spotify:track:3E2Zh20GDCR9B1EYjfXWyv,,,,,,
169,Lean On (feat. MØ & DJ Snake),Major Lazer,18526,5/12/2017,au,4WjH9Bzt3kx7z8kl0awxh4,spotify:track:4WjH9Bzt3kx7z8kl0awxh4,,,,,,
94,Vi er perfekt men verden er ikke det,Cezinando,18526,10/27/2017,no,3RgPhJXEYevqvKGzL3REyU,spotify:track:3RgPhJXEYevqvKGzL3REyU,,,,,,
80,Te Vas,Ozuna,18525,1/6/2017,cl,2twUPIYOTqVivev47pf7bU,spotify:track:2twUPIYOTqVivev47pf7bU,,,,,,
145,Hide Away,Daya,18524,1/6/2017,ph,4Z3qm2aWGTJuJKnv3EWwyD,spotify:track:4Z3qm2aWGTJuJKnv3EWwyD,,,,,,
86,The Sound Of Silence,Disturbed,18521,2/3/2017,no,0eZBeB2xFIS65jQHerispi,spotify:track:0eZBeB2xFIS65jQHerispi,,,,,,
151,No Scrubs,TLC,18520,7/7/2017,au,1KGi9sZVMeszgZOWivFpxs,spotify:track:1KGi9sZVMeszgZOWivFpxs,,,,,,
16,"How Far I'll Go - From ""Moana""",Alessia Cara,18519,1/6/2017,my,5hYTyyh2odQKphUbMqc5gN,spotify:track:5hYTyyh2odQKphUbMqc5gN,,,,,,
20,Human,Rag'n'Bone Man,18519,1/6/2017,pl,58zsLZPvfflaiIbNWoA22O,spotify:track:58zsLZPvfflaiIbNWoA22O,,,,,,
